@relation cleaned_data

@attribute price numeric
@attribute retail_price numeric
@attribute units_sold numeric
@attribute uses_ad_boosts numeric
@attribute rating numeric
@attribute rating_count numeric
@attribute rating_five_count numeric
@attribute rating_four_count numeric
@attribute rating_three_count numeric
@attribute rating_two_count numeric
@attribute rating_one_count numeric
@attribute badges_count numeric
@attribute badge_local_product numeric
@attribute badge_product_quality numeric
@attribute badge_fast_shipping numeric
@attribute product_variation_size_id numeric
@attribute product_variation_inventory numeric
@attribute shipping_option_price numeric
@attribute shipping_is_express numeric
@attribute countries_shipped_to numeric
@attribute inventory_total numeric
@attribute merchant_rating_count numeric
@attribute merchant_rating numeric
@attribute merchant_has_profile_picture numeric
@attribute pink numeric
@attribute green numeric
@attribute black numeric
@attribute yellow numeric
@attribute brown numeric
@attribute grey numeric
@attribute red numeric
@attribute beige numeric
@attribute orange numeric
@attribute gray numeric
@attribute white numeric
@attribute blue numeric
@attribute purple numeric
@attribute multicolor numeric

@data
8.8,17,1000,0,3.96,288,133,75,39,18,23,0,0,0,0,3,50,3,0,32,50,892,3.901345,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6.215,6,1000,1,4.37,217,137,42,24,9,5,1,0,1,0,8,10,2,0,38,50,44837,4.065905,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.6,9,1000,0,3.8,245,118,44,33,15,35,0,0,0,0,8,1,2,0,40,50,7363,4.106343,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3.3,3,100,1,3.63,8,4,1,1,0,2,0,0,0,0,8,3,1,0,26,50,1086,4.056169,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12.1,10,5000,0,4.23,1109,658,217,131,33,70,0,0,0,0,3,50,2,0,48,50,5781,4.274866,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.126,11,100,1,2.92,24,9,0,4,2,9,0,0,0,0,5,50,1,0,41,50,8443,4.275731,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.5,5,10,0,5,0,442.26,179.6,134.55,63.71,95.74,0,0,0,0,2,50,2,0,8,50,129,3.837209,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16.5,13,1000,0,3.88,854,431,156,106,59,102,0,0,0,0,2,50,4,0,40,50,11354,3.893694,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.892,26,1000,1,4.33,18,10,5,2,1,0,0,0,0,0,1,9,1,0,43,50,1373,4.007283,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6.6,6,20000,1,3.71,2706,1095,597,464,222,328,0,0,0,0,8,49,2,0,38,50,6714,4.07328,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.6,17,5000,0,4.24,1650,969,344,182,72,83,1,0,1,0,2,50,2,0,44,50,13308,4.155996,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12.1,20,10000,0,3.92,2841,1352,636,397,185,271,0,0,0,0,2,16,3,0,41,50,12371,3.871635,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6.369,5,5000,0,3.78,1022,470,194,155,74,129,0,0,0,0,2,6,2,0,47,50,3566,3.732473,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5.5,5,100,0,5,2,2,0,0,0,0,0,0,0,0,4,13,2,0,41,50,5316,4.224605,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7.7,66,10,1,5,0,442.26,179.6,134.55,63.71,95.74,0,0,0,0,1,50,2,0,41,50,3694,4.042231,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12.1,75,1000,1,3.43,70,28,12,8,6,16,0,0,0,0,8,50,3,0,25,50,104,3.682692,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14.3,252,20000,0,3.91,12041,5723,2701,1656,751,1210,0,0,0,0,8,50,3,0,35,50,45964,4.097119,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.38,8,100,1,3.83,6,3,1,1,0,1,0,0,0,0,1,1,1,0,43,50,16741,3.920853,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9.9,31,1000,1,3.92,317,151,72,45,17,32,0,0,0,0,2,50,3,0,34,50,8043,4.165983,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12.1,51,100,1,3,4,1,1,0,1,1,0,0,0,0,2,50,2,0,43,50,17222,4.001277,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8.8,7,1000,0,4.05,152,76,39,18,6,13,0,0,0,0,1,50,2,0,24,50,466,3.892704,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12.1,22,100,1,2.71,24,6,2,5,1,10,2,1,0,1,8,1,2,0,43,50,746,4.018767,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4.213,4,100,0,3.57,67,27,15,6,7,12,0,0,0,0,8,1,1,0,38,50,5654,3.95879,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8.8,7,1000,1,3.69,294,128,57,44,20,45,0,0,0,0,2,50,2,0,36,50,821,3.766139,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6.424,5,10000,0,3.45,1312,491,217,228,145,231,0,0,0,0,2,43,1,0,48,50,32168,3.884544,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12.1,24,1000,0,3.73,154,68,31,21,14,20,0,0,0,0,4,50,3,0,42,50,47639,4.213439,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8.8,42,1000,0,3.95,449,230,87,60,25,47,0,0,0,0,3,50,2,0,40,50,47981,4.025364,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8.8,47,100,1,4.33,110,69,23,7,7,4,1,0,1,0,2,50,2,0,43,50,1032,4.577519,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8.8,7,20000,1,4.17,3090,1800,575,364,143,208,0,0,0,0,2,21,3,0,41,50,21892,4.146857,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8.8,7,1000,0,3.84,132,56,34,20,9,13,0,0,0,0,2,50,2,0,31,50,2055,3.837956,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13.2,93,1000,1,4.1,534,280,128,63,28,35,0,0,0,0,2,50,3,0,40,50,15540,4.241313,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7.7,22,100,0,4.46,52,35,9,5,3,0,0,0,0,0,3,50,2,0,51,50,2199,4.236471,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14.3,26,100,0,4.06,113,65,16,15,8,9,0,0,0,0,8,50,3,0,35,50,3682,4.463064,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9.9,8,5000,0,4.29,761,476,128,90,34,33,0,0,0,0,3,50,3,0,55,50,5819,4.151916,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14.3,11,100,0,3.22,9,5,0,0,0,4,0,0,0,0,8,50,3,0,41,50,111,3.801802,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.926,9,100,0,5,1,1,0,0,0,0,0,0,0,0,8,50,1,0,63,50,54773,4.43777,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16.5,13,50,1,4.4,10,5,4,1,0,0,0,0,0,0,2,2,4,0,36,50,34,3.676471,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7.7,6,5000,0,4.38,996,654,178,94,32,38,1,0,1,0,1,8,2,0,41,50,130598,3.946791,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5.5,5,100,0,3,45,14,3,10,5,13,0,0,0,0,1,50,2,0,35,50,9857,4.053972,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13.2,11,1000,0,3.81,341,163,63,48,21,46,0,0,0,0,2,50,3,0,13,50,2248,4.150356,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9.9,8,10000,0,4.2,2749,1578,562,339,112,158,1,0,1,0,3,50,3,0,43,50,36361,3.96752,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8.8,84,10000,0,4.19,3679,2077,783,446,192,181,1,0,1,0,3,50,3,0,37,50,80713,4.187814,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20.9,17,100,1,4.33,61,39,12,5,1,4,0,0,0,0,8,50,6,0,38,50,487,4.234086,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6.49,5,10000,0,3.64,1933,867,298,299,151,318,0,0,0,0,8,4,1,0,30,50,2366,3.951817,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12.1,83,20000,0,3.87,5719,2720,1171,820,408,600,0,0,0,0,3,50,2,0,38,50,151914,4.127921,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20.9,26,1000,1,3.01,205,57,25,43,23,57,2,1,0,1,4,10,6,0,47,40,5048,4.159667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12.1,159,1000,0,3.67,585,237,129,84,59,76,0,0,0,0,1,50,2,0,109,50,16085,3.878023,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17.6,16,100,0,3.82,50,26,7,7,2,8,0,0,0,0,8,50,5,0,25,50,7676,4.039474,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5.5,5,100,0,3.91,43,22,9,4,2,6,0,0,0,0,1,1,2,0,24,50,10474,3.908535,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6.6,17,10000,0,4.35,3279,2091,612,336,109,131,1,0,1,0,8,3,2,0,40,50,110548,4.143666,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14.3,11,5000,1,3.88,1224,569,278,175,67,135,0,0,0,0,5,34,3,0,19,50,56745,3.981073,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9.9,8,10000,0,3.8,1231,555,240,211,87,138,0,0,0,0,2,50,3,0,45,50,10600,3.867547,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8.8,16,10000,0,4.04,1589,770,391,248,77,103,0,0,0,0,2,9,2,0,43,50,3665,4.19427,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13.2,17,50,0,4.17,18,9,5,3,0,1,0,0,0,0,8,50,3,0,37,50,71919,4.385295,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6.347,5,100,1,4,4,1,2,1,0,0,0,0,0,0,2,45,1,0,31,50,8996,3.91574,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.3,26,100,1,2,3,0,1,0,0,2,0,0,0,0,2,13,1,0,43,50,12016,3.954644,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8.8,22,100,1,4.6,10,8,1,0,1,0,0,0,0,0,8,50,2,0,24,50,63,4.238095,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2.2,2,1000,0,4.19,81,50,14,6,4,7,1,0,1,0,1,1,1,0,35,50,126370,4.146957,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12.1,12,5000,0,3.45,1045,383,181,188,109,184,0,0,0,0,2,50,2,0,79,50,1490,3.946309,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17.6,14,100,1,3.44,27,13,2,2,4,6,0,0,0,0,3,50,4,0,35,50,572,3.367133,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15.4,12,20000,1,3.61,5891,2246,1221,1098,506,820,0,0,0,0,3,50,3,0,32,50,14553,3.915275,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12.1,10,100,0,3.29,38,13,5,8,4,8,0,0,0,0,8,50,3,0,80,50,168,3.732143,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
